ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Gloss_LaTeX
87,19,aka malav e roaru kiulam.,aka	malav	e	roa-ru	kiu-la-m.,then	people	1PL.EXCL	one.SGM-none	die-NEG-SGM,"And we, the people [lit: the people we] didnt die. [i.e. None of us people died.]",87,MORPHEME_ALIGNED,replacing spaces between graphemic words supplied with one gloss by underscores in Analyzed_Word,"terrill2003[171, (197)]",then people 1\Pl{}.\Excl{} one.\Sg{}\M{}-none die-\Neg{}-\Sg{}\M{}
88,20,"miosnok mienahmiy, mienot jig miyes mier tofi.","mi-osnok	mi-en-ah-miy,	mi-en-ot	jig	miyes	mi-er	tofi.",1PL-person	1PL-DUR-bathe	1PL-DUR-stand	LOC	clothes	1PL-wear	hat,"we people bathe, wear clothes, wear hats… (stand in clothes = wear clothes)",87,MORPHEME_ALIGNED,,"gravelle2010[344, (2)]",1\Pl{}-person 1\Pl-\Dur{}-bathe 1\Pl-\Dur{}-stand \Loc{} clothes 1\Pl{}-wear hat
89,20,Eri iejen(a) iodog jig…,Eri	i-ejen(a)	i-odog	jig…,they.PL	3PL-woman	3PL-pregnant	LOC,(If/when) they the women are pregnant…,87,MORPHEME_ALIGNED,,"gravelle2010[91, (38)]",they.\Pl{} 3\Pl-woman 3\Pl-pregnant \Loc{}
90,20,eri Mosmir,eri	Mosmir,they	Maybrat,Maybrat people/tribe,87,MORPHEME_ALIGNED,,"gravelle2010[224, (43b)]",they Maybrat
91,21,Emen Sougb/ emen meijouhw dangga.,Emen	Sougb/	emen	meijouhw	dangga.,we.EXCL	Sougb	we.EXCL	custom	like.that,"We Sougb, thats our custom.",87,WORD_ALIGNED,,"reesink2002sougb[274, (40)]",we.\Excl{} Sougb we.\Excl{} custom like.that
92,22,Nyeni sop Tinam hwop yok nya ci gimbres,Nye-ni	sop	Tinam	hwop	yok	nya	ci	gi-mbres,we-this	woman	Tinam	girl	put	PL	chase-away	NMLZ-wide,We Tinam women are not easy to take.,87,MORPHEME_ALIGNED,,"reesink1999[195, (72)]",we-this woman Tinam girl put \Pl{} chase-away \Nmlz{}-wide
93,23,fnia anu pno po reto fawen fe,fnia	anu	p-no	po	re-t-o	fawen	fe,woman	2PL/1PL.INCL	1PL-do	thing	location.SPEC-PROX-UNMARK	long.time	NEG,"We women (inc), we havent done this thing for a long time.",87,MORPHEME_ALIGNED,,"dol2007[158, (99)]",woman 2\Pl/1\Pl.\Incl{} 1\Pl-do thing location.\Spec-\Prox-\Unmark{} long.time \Neg{}
94,24,men melnum watipmen,men	melnum	watipmen,1PL.EXCL	person	many,we(excl.) many people,87,MORPHEME_ALIGNED,,hemmilaeluoma1987[123],1\Pl.\Excl{} person many
95,24,tu melnum,tu	melnum,3PL	person,the people,87,MORPHEME_ALIGNED,,hemmilaeluoma1987[125],3\Pl{} person
96,24,kupm Melming la naketn por ti,kupm	Melming	la	nak-etn	por	ti,1SG	Melming	say	tell.REAL-2SG.OBJ	story	this,I Melming told you this story.,87,MORPHEME_ALIGNED,,hemmilaeluoma1987[125],1\Sg{} Melming say tell.\Real{}-2\Sg.\Obj{} story this
97,26,No mapagha avena kula ata nova nitola.,[[No	mapa=gha]	[ave]]=na	kula	ata	no-va	nito=la.,2SG.[GEN]	person=PL	1PL.EXCL=NOM	seawards	here	2SG-GEN.M	eye=LOC.M,"[Addressing the volcano:] We, your people, (are) here seawards at your eye.",87,MORPHEME_ALIGNED,replacing spaces between graphemic words supplied with one gloss by underscores in Analyzed_Word,"wegener2012[155, (285)]",2\Sg.[\Gen] person=\Pl{} 1\Pl.\Excl=\Nom{} seawards here 2\Sg-\Gen.\M{} eye=\Loc.\M{}
98,27,wun ñəna ñaməs,wun	ñən-a	ñaməs,I	you.F-LNK+F.SG	younger.sibling,"me, your younger sister",87,MORPHEME_ALIGNED,,aikhenvald2008[197],I you.\F-\Lnk+\F.\Sg{} younger.sibling
99,28,rom Meleyyænim,rom	Meley-yænim,3PL	Meley-GENERIC,the people from Meley,87,MORPHEME_ALIGNED,,"feldman1986[122, (15a)]",3\Pl{} Meley-\Generic{}
100,28,rey/ tey tale,rey/	tey	tale,3M.SG/	3F.SG	woman,the woman,87,MORPHEME_ALIGNED,,"feldman1986[123, (21a)]",3\M.\Sg{}/ 3\F.\Sg{} woman
101,29,yimam,yima-m,person-3PL,people,87,MORPHEME_ALIGNED,,bruce1984[96],person-3\Pl{}
102,29,yimakë,yima-kë,person-2PL,you people,87,MORPHEME_ALIGNED,,bruce1984[96],person-2\Pl{}
103,29,yimanëm,yima-nëm,person-1PL,we people,87,MORPHEME_ALIGNED,,bruce1984[96],person-1\Pl{}
104,30,aogi yagara:'na: kanaue,aogi	yagara:'-na:	kana-u-e,good	man-1SG	come-1SG-IND,"I, the good man, come.",87,MORPHEME_ALIGNED,,scott1978[80],good man-1\Sg{} come-1\Sg-\Ind{}
105,32,dagaea ve agaea ∅begidue,dagaea	ve	agaea	∅-begi-d-u-e,I	man	he	him-hit-PST-1SG-IND,I hit the man.,87,MORPHEME_ALIGNED,,renck1975[18f.],I man he him-hit-\Pst{}-1\Sg{}-\Ind{}
106,32,Ovuda malo' beidue,Ovu-da	ma-lo'	bei-d-u-e,Ovi-I	this-LOC	live-PST-1.SG-IND,"I, Ovu, am here.",87,MORPHEME_ALIGNED,,renck1975[19],Ovi-I this-\Loc{} live-\Pst{}-1.\Sg{}-\Ind{}
107,32,atata eda'e,a-tata	e-d-a'-e,woman-they.DU	come-PST-3.DU-IND,The two women came.,87,MORPHEME_ALIGNED,,renck1975[19],woman-they.\Du{}{} come-\Pst{}-3.\Du{}-\Ind{}
108,33,Dana ben eu age hoiga.,[Dana	ben	eu	age]	ho-ig-a.,man	big	that	3PL	come-3PL-TODPST,Those leaders (big men) came.,87,MORPHEME_ALIGNED,replacing spaces between graphemic words supplied with one gloss by underscores in Analyzed_Word,"roberts1987amele[210, (283)-(284)]",man big that 3\Pl{} come-3\Pl{}-\Todpst{}
109,34,Juab Minöp kalɨp ñöb.,Juab	Minöp	kalɨp	ñ-öb.,Juab	Minöp	OBJ.3DU	give-PRF.3SG,He gave it to Juap and Minöp.,87,MORPHEME_ALIGNED,,"davies1989[108, (264)]",Juab Minöp \Obj.3\Du{}{} give-\Prf.3\Sg{}
110,34,Yad Kaunsol nibi bɨ abad aij gɨmɨdpin.,Yad	Kaunsol	nibi	bɨ	abad	aij	gɨ-mɨd-pin.,1SG	councillor	woman	man	look.after	good	do-HABIT-PFV.1SG,As councillor I look after the people well.,87,MORPHEME_ALIGNED,,"davies1989[157, (408ad)]",1\Sg{} councillor woman man look.after good do-\Habit-\Pfv.1\Sg{}
111,35,eâb igimine ne tain wo yânâmb wogub…,eâb	igim-ine	ne	tain	wo	yâ-nâmb	wogub…,cry.SS	be-1SG.DS	and	father	he	me-hit.SS	cease.SS,I was crying and my father he hit me and then…,87,MORPHEME_ALIGNED,,"reesink1987[167, (99)]",cry.\Ss{} be-1\Sg.\Ds{} and father he me-hit.\Ss{} cease.\Ss{}
112,35,… in bo an wau moi qomon gâs ende igoun,…	in	bo	an	wau	moi	qomon	gâs	ende	ig-oun,{}	we	again	you	child	unmarried	custom	like	thus	be-1PL.PRS,… we in turn live like the customs of you young men.,87,MORPHEME_ALIGNED,,"reesink1987[190f., (41)]",{} we again you child unmarried custom like thus be-1\Pl.\Prs{}
113,36,Sa Bain ʔari bεh.,Sa	[Bain	ʔari]	bεh.,3SG.SBJ	Bain	3.OBJ	hit,S/he hit Bain.,87,WORD_ALIGNED,,"robinsonhaan2014[261, (165)]",3\Sg.\Sbj{} Bain 3.\Obj{} hit
114,37,Ilwang gang useruser bir bleling gom mi esero.,Ilwang	gang	user·user	bir	bleling	g-om	mi	eser-o.,Ilwang	3SG	REDUP·quickly	run	open	3SG-inside	LOC	exit-FIN,Ilwang quickly ran outside. (lit. … ran out to (the) opens inside),87,MORPHEME_ALIGNED,,"klamer2014[129, (98)]",Ilwang 3\Sg{} \Redup\texttildelow{}quickly run open 3\Sg{}-inside \Loc{} exit-\Fin{}
115,38,almakangak gera,almakang=ak	gera,people=DEF	3.CONTR,the (specific group of) people,87,MORPHEME_ALIGNED,,"schapper2014[313f., (58a)]",people=\Def{} 3.\Contr{}
116,39,aning du girra parra laata,[aning	du	girra]	[parra]	laata,NFIN.person	PL	3.AARG	field	burn,People are burning fields.,87,WORD_ALIGNED,replacing spaces between graphemic words supplied with one gloss by underscores in Analyzed_Word,"kratochvil2014[392, (102f)]",\Nfin.person \Pl{} 3.\Aarg{} field burn
117,40,aning gnuk unan lewena,aning	gnuk	unan	le-wena,person	3.DU	louse	APPL-search,Those two people searched for lice.,87,MORPHEME_ALIGNED,,"schapperhendery2014[472, (75)]",person 3.\Du{} louse \Appl-search
118,41,Tabang alaku Duinni Maggangkala ging araung yattu gaung misingup.,[[Tabang	alaku	Duinni	Maggangkala]	[ging]]	a-raung	yattu	ga-ung	misingup.,slave	two	Duinni	Maggangkala	3PL.ACT	INCP-climb	tree	3SG-head	sit,The two slaves Duinni Maggangkala climbed up and sat in the tree.,87,MORPHEME_ALIGNED,replacing spaces between graphemic words supplied with one gloss by underscores in Analyzed_Word,"holton2014[53, (105)]",slave two Duinni Maggangkala 3\Pl.\Act{} INCP-climb tree 3\Sg-head sit
119,128,"rdʑæ lmæɲətʰətʰə mpʰri vsʰæbɔ, rdʑæ. bæ ŋæɲətʰə mpʰri misʰoŋ.","rdʑæ	lmæ=ɲə=tʰə~tʰə	mpʰri	v-sʰæ=bɔ,	rdʑæ.	bæ	ŋæ=ɲə=tʰə	mpʰri	mi-sʰoŋ.",Chinese	3=PL.ABS=TOP~REDUP	snake.ABS	INV-kill.NPST.3=MOD	Chinese.ABS	Tibetan	1=PL.ABS=TOP	snake.ABS	NEG-kill.NPST.1PL,"The (Han) Chinese, they kill snakes. […] We Tibetans do not kill snakes.",87,MORPHEME_ALIGNED,,"honkasalo2019[480, (7.48)]",Chinese 3=\Pl.\Abs{}=\Top~\Redup{} snake.\Abs{} \Inv-kill.\Npst.3=\Mod{} Chinese.\Abs{} Tibetan 1=\Pl.\Abs{}=\Top{} snake.\Abs{} \Neg{}-kill.\Npst.1\Pl{}
120,129,congming de nimen ziji xiang banfa jiejue ba!,congming	de	ni-men	ziji	xiang	banfa	jiejue	ba!,smart	LNK	you-PL	yourselves	think	ways	solve	EXCLAM,you smart people think of a way to solve it yourselves.,87,MORPHEME_ALIGNED,,boskovichsieh2013[(53a)],smart \Lnk{} you-\Pl{} yourselves think ways solve \Exclam{}
121,131,Ti orvosok sokat dolgoztok.,Ti	orvos-ok	sok-at	dolgoz-tok.,you.PL	doctor-PL	much-ACC	work-INDF.2PL,You doctors work a lot.,87,MORPHEME_ALIGNED,,"keneseietal1998[269, (492)]",you.\Pl{} doctor-\Pl{} much-\Acc{} work-\Indf.2\Pl
122,132,Me naiset menemme nyt saunaan.,Me	naiset	menemme	nyt	saunaan.,we	woman.PL	go.1PL	now	sauna.ILL,We women will go to the sauna now.,87,WORD_ALIGNED,,"sulkalakarjalainen1992[277, (1335)]",we woman.\Pl{} go.1\Pl{} now sauna.\Ill
123,73,u gaanman fu den liba,u	gaanman	fu	den	liba,1/2PL	chief	for	the.PL	river,you chiefs of the rivers,87,WORD_ALIGNED,,"huttarhuttar1994[467, (2075)]",1/2\Pl{} chief for the.\Pl{} river
124,74,Unà onyìbo pipul no dè chu kola àtô̱l.,Unà	onyìbo	pipul	no	dè	chu	kola	àtô̱l.,you.PL	white	people	NEG	IPFV	chew	kola	NEG.EMPH,You white people dont chew kola nut at all.,87,WORD_ALIGNED,,"faraclas1996[181, (802)]",you.\Pl{} white people \Neg{} \Ipfv{} chew kola \Neg.\Emph{}
125,75,"kora jenti muré, tudu nus kristáng bai","kora	jenti	muré,	tudu	nus	kristáng	bai",when	person	die	all	1PL	Kristang	go,"When people die, all we Kristangs go (to the wake).",87,WORD_ALIGNED,,"baxter1988[86, (11)]",when person die all 1\Pl{} Kristang go
126,51,ninen elnuiyek,ninen	elnui-yek,we.EXCL	people-1PL.EXCL,we First Nation people,87,MORPHEME_ALIGNED,,pacifiqueetal1990[188],we.\Excl{} people-1\Pl.\Excl
127,52,manuih yi,manuih	yi,people	we,,87,WORD_ALIGNED,,"costello1969[28, (35)]",people we
128,52,yi manuih,yi	manuih,we	people,we people,87,WORD_ALIGNED,,"costello1969[28, (36)]",we people
129,52,yi adi anó yi,yi	adi	anó	yi,we	older.brother	younger.brother	we,we older and younger brothers,87,WORD_ALIGNED,,"costello1969[28, (37)]",we older.brother younger.brother we
130,71,Wirico Mon' co pa' na mijac,Wirico	Mon'	co	pa'	na	mijac,EMPH:3SG.M	M:name	INFL:M/F.REAL.PST/PRS	kill	3SG:REAL.PST/PRS	pig,It was Mon who killed a pig.,87,WORD_ALIGNED,,"everettkern1997[303, (570a)]",\Emph:3\Sg.\M{} \M:name \Infl:\M/\F.\Real.\Pst/\Prs{} kill 3\Sg:\Real.\Pst/\Prs{} pig
131,125,"Čaz čubanr.iz, wun har näniqʰ k'wal.iz qʰifizwazjdi qʰsam čizwa","Ča-z	čuban-r.i-z,	wun	har	näni-qʰ	k'wal.i-z	qʰifi-zwazj-di	qʰsam	či-zwa",we-DAT	shepherd-DAT	you:ABS	every	night-POSTESS	house-DAT	return-IPFV-PTCP-NMLZ	good	know-IPFV,We shepherds know well that you go home every night.,87,MORPHEME_ALIGNED,,"haspelmath1993[259, (682a)]",we-\Dat{} shepherd-\Dat{} you:\Abs{} every night-\Postess{} house-\Dat{} return-\Ipfv-\Ptcp-\Nmlz good know-\Ipfv
132,126,"ħa(rà) (šᵒa(rà), darà) abàħčaajayᵒcᵒa","ħa(rà)	(šᵒa(rà),	darà)	a-bàħč-aa-ja-yᵒ-cᵒa",we	you	they	ART-garden-PREV-tend-AARG-PL,"we (you, they) gardeners",87,WORD_ALIGNED,,hewitt1989[159],we you they \Art-garden-\Prev-tend-\Aarg{}-\Pl
133,111,Galdu didazue aitasemeok afaritako gogo guztia.,Galdu	didazue	aita-seme-ok	afari-ta-ko	gogo	guzti-a.,spoil	3SG.ABS.AUX.1SG.DAT.2PL.ERG	father-son-PROXART.PL.ERG	dinner-LOC-LNK	appetite	all-DET.ABS,"You, father and son, have spoiled my whole appetite for dinner.",87,MORPHEME_ALIGNED,,"derijk2008[502, (90a)]",spoil 3\Sg{}.\Abs{}.\Aux{}.1\Sg{}.\Dat{}.\textbf{2\Pl{}.\Erg} father-son-\Proxart.\Pl{}.\Erg{} dinner-\Loc{}-\Lnk{} appetite all-\Det{}.\Abs{}
134,111,Zor berria dugu euskaldunok Orixerekin.,Zor	berri-a	dugu	euskaldun-ok	Orixe-rekin.,debt	new-DET.ABS	3SG.ABS.AUX.1PL.ERG	Basque-PROXART.PL	Orixe-COM,We Basques have a new debt to Orixe.,87,MORPHEME_ALIGNED,,"derijk2008[502, (91a)]",debt new-\Det{}.\Abs{}{} 3\Sg{}.\Abs{}.\Aux{}.\textbf{1\Pl{}.\Erg} Basque-\Proxart.\Pl{}{} Orixe-\Com{}
135,133,Nicuīca niPetoloh.,Nicuīca	niPetoloh.,I-sing	I-am-Peter,"I, Peter, sing.",87,MORPHEME_ALIGNED,,andrews1975[193],I-sing I-am-Peter
136,133,Nēchitta niPetoloh.,Nēchitta	niPetoloh.,he-sees-me	I-am-Peter,"He sees me, Peter.",87,MORPHEME_ALIGNED,,andrews1975[193],he-sees-me I-am-Peter
137,133,Nocal niPetoloh.,Nocal	niPetoloh.,It-is-my-house/they-are-my-houses	I-am-Peter,It is my house (and I am Peter)./They are my houses (and I am Peter).,87,MORPHEME_ALIGNED,,andrews1975[194],It-is-my-house/they-are-my-houses I-am-Peter
138,2,Bu bejumimnil emere∅.,Bu	bejumimni-l	eme-re-∅.,we	hunter-PL	come-NFUT-3PL,"We, hunters, came.",87,MORPHEME_ALIGNED,,"nedjalkov1997[199, (794)]",we hunter-\Pl{} come-\Nfut-3\Pl
139,70,mɨnayarɨ horɨ amna ntono. nɨmno hokono rma amna,mɨnayarɨ	horɨ	amna	ntono.	nɨmno	hokono	rma	amna,species.of.leaf	seeking	we.EXCL	went	house	one.occupied.with	same-ref	we.EXCL,We housebuilders went looking for leaves,87,WORD_ALIGNED,,"derbyshire1979[131, (290)]",species.of.leaf seeking we.\Excl{} went house {one.occupied.with} same-ref we.\Excl{}
140,70,nux mokro raheno,nux	mokro	raheno,my.younger.brother	that.one	he.seduced.me,That younger brother of mine seduced me,87,WORD_ALIGNED,,"derbyshire1979[132, (293a)]",my.younger.brother that.one he.seduced.me
141,0,wareware nihonjin,wareware	nihonjin,we	Japanese,we Japanese,87,WORD_ALIGNED,,hinds1988[254],we Japanese
142,1,wuli ttokttokhan enehakcatul,wuli	ttokttokhan	enehakcatul,we	smart	linguists,,87,WORD_ALIGNED,,"choi2014phd[151, (15)]",we smart linguists
143,1,ttokttokhan wuli enehakcatul,ttokttokhan	wuli	enehakcatul,smart	we	linguists,we smart linguists,87,WORD_ALIGNED,,"choi2014phd[151, (15)]",smart we linguists
144,79,kalaallit uagut,kalaalli-t	uagut,Greenlander-ABS.PL	we,we Greenlanders,87,MORPHEME_ALIGNED,gloss extrapolated,fortescue1984[110],Greenlander-\Abs{}.\Pl{} we
145,79,uagut kalaaliusugut,uagut	kalaali-u-sugut,we	Greenlander-be-1PL.PTCP,we Greenlanders,87,MORPHEME_ALIGNED,,fortescue1984[257],we Greenlander-be-1\Pl{}.\Ptcp{}
146,130,tau⁵¹ hou²⁴ ʔat⁵⁵ jen¹¹ kjã:u²⁴,tau⁵¹	hou²⁴	ʔat⁵⁵_jen¹¹_kjã:u²⁴,1PL	two	sister,"we, the two sisters",87,WORD_ALIGNED,replacing spaces between graphemic words supplied with one gloss by underscores in Analyzed_Word,"fan2019[137, (40)]",1\Pl{} two sister
147,3,biz Türkler vatanımızı severiz,biz	Türk-ler	vatan-ımız-ı	sev-er-iz,we	Turk-PL	mother.country-1PL-ACC	love-AOR-1PL,We Turks love our country,87,MORPHEME_ALIGNED,replacing spaces between graphemic words supplied with one gloss by underscores in Analyzed_Word,"kornfilt1997[297, (1075)]",we Turk-\Pl{} mother.country-1\Pl-\Acc{} love-\Aor-1\Pl{}
148,87,you linguists,you	linguist-s,2SG.PL	linguist-PL,you linguists,87,MORPHEME_ALIGNED,,hoehn2025nompers[Supplementary Material S3],2\Sg.\Pl{} linguist-\Pl{}
149,31,forapi da,forapi	da,Forapi	1SG,"I, Forapi",87,MORPHEME_ALIGNED,,haiman1980[226],Forapi 1\Sg{}
150,31,forapiga,forapi-ga,Forapi-2SG,"You, Forapi",87,MORPHEME_ALIGNED,,haiman1980[226],Forapi-2\Sg{}
151,31,nonokama da,,,I your maternal uncle,87,,,haiman1980[226],
152,31,vimata,,,of us men,87,,person marked genitive forms,haiman1980[240],
153,31,ademata,ademata,,of us women,87,,person marked genitive forms,haiman1980[240],
154,31,vi'ita,vi'ita,,of you men,87,,person marked genitive forms,haiman1980[240],
155,31,adita,adita,,of you women,87,,person marked genitive forms,haiman1980[240],
156,72,ʔuš panš' ha hananki' namkinada',,,We people who live in this house.,87,,,swadesh1967[333],
157,1,wuli(tul) hankwuk salam,wuli-(tul)	hankwuk	salam,we-PL	Korean	person,we Koreans,87,MORPHEME_ALIGNED,Gloss added (GFKH),sohn1994[292],we-PL Korean person
